,basket,product_to_recommend,probability,price,description
8390,"frozenset({'22919', '22917', '22921', '22920', '22916'})",frozenset({'22918'}),0.9924812030075187,0.65,HERB MARKER PARSLEY
8131,"frozenset({'22917', '22916', '22919', '22921'})",frozenset({'22918'}),0.9859154929577465,0.65,HERB MARKER PARSLEY
8224,"frozenset({'22920', '22917', '22921', '22918'})",frozenset({'22916'}),0.9856115107913669,0.65,HERB MARKER THYME
8228,"frozenset({'22920', '22917', '22916', '22921'})",frozenset({'22918'}),0.9856115107913669,0.65,HERB MARKER PARSLEY
8329,"frozenset({'22920', '22916', '22919', '22921'})",frozenset({'22918'}),0.9852941176470589,0.65,HERB MARKER PARSLEY
8299,"frozenset({'22920', '22917', '22919', '22921'})",frozenset({'22918'}),0.9852941176470589,0.65,HERB MARKER PARSLEY
8386,"frozenset({'22919', '22918', '22917', '22921', '22920'})",frozenset({'22916'}),0.9850746268656716,0.65,HERB MARKER THYME
8389,"frozenset({'22919', '22918', '22921', '22920', '22916'})",frozenset({'22917'}),0.9850746268656716,0.65,HERB MARKER ROSEMARY
15884,"frozenset({'22697', '23172', '23170'})",frozenset({'23171'}),0.9813084112149534,1.65,REGENCY TEA PLATE GREEN 
15639,"frozenset({'23172', '23174', '23170'})",frozenset({'23171'}),0.9811320754716981,1.65,REGENCY TEA PLATE GREEN 
15986,"frozenset({'22699', '22697', '23172', '23170'})",frozenset({'23171'}),0.9801980198019802,1.65,REGENCY TEA PLATE GREEN 
8054,"frozenset({'22917', '22916', '22921'})",frozenset({'22918'}),0.9797297297297297,0.65,HERB MARKER PARSLEY
8086,"frozenset({'22917', '22919', '22921'})",frozenset({'22918'}),0.9795918367346939,0.65,HERB MARKER PARSLEY
8100,"frozenset({'22919', '22916', '22921'})",frozenset({'22918'}),0.9794520547945205,0.65,HERB MARKER PARSLEY
8182,"frozenset({'22920', '22916', '22921'})",frozenset({'22918'}),0.9790209790209791,0.65,HERB MARKER PARSLEY
8130,"frozenset({'22921', '22916', '22919', '22918'})",frozenset({'22917'}),0.9790209790209791,0.65,HERB MARKER ROSEMARY
8183,"frozenset({'22920', '22918', '22921'})",frozenset({'22916'}),0.9790209790209791,0.65,HERB MARKER THYME
15479,"frozenset({'23171', '23175', '23173'})",frozenset({'23174'}),0.9789473684210526,4.15,REGENCY SUGAR BOWL GREEN
15913,"frozenset({'22697', '23172', '22698', '23170'})",frozenset({'23171'}),0.9789473684210526,1.65,REGENCY TEA PLATE GREEN 
8196,"frozenset({'22920', '22917', '22921'})",frozenset({'22918'}),0.9788732394366196,0.65,HERB MARKER PARSLEY
8211,"frozenset({'22920', '22917', '22921'})",frozenset({'22916'}),0.9788732394366196,0.65,HERB MARKER THYME
8227,"frozenset({'22920', '22921', '22916', '22918'})",frozenset({'22917'}),0.9785714285714285,0.65,HERB MARKER ROSEMARY
8254,"frozenset({'22920', '22919', '22921'})",frozenset({'22918'}),0.9785714285714285,0.65,HERB MARKER PARSLEY
8298,"frozenset({'22920', '22921', '22919', '22918'})",frozenset({'22917'}),0.9781021897810219,0.65,HERB MARKER ROSEMARY
8326,"frozenset({'22920', '22921', '22919', '22918'})",frozenset({'22916'}),0.9781021897810219,0.65,HERB MARKER THYME
8356,"frozenset({'22920', '22917', '22919', '22921'})",frozenset({'22916'}),0.9779411764705883,0.65,HERB MARKER THYME
8359,"frozenset({'22920', '22916', '22919', '22921'})",frozenset({'22917'}),0.9779411764705883,0.65,HERB MARKER ROSEMARY
8057,"frozenset({'22918', '22916', '22921'})",frozenset({'22917'}),0.9731543624161073,0.65,HERB MARKER ROSEMARY
8055,"frozenset({'22918', '22917', '22921'})",frozenset({'22916'}),0.9731543624161073,0.65,HERB MARKER THYME
7998,"frozenset({'22920', '22916', '22919', '22918'})",frozenset({'22917'}),0.9729729729729729,0.65,HERB MARKER ROSEMARY
8159,"frozenset({'22920', '22921'})",frozenset({'22916'}),0.9727891156462585,0.65,HERB MARKER THYME
8164,"frozenset({'22920', '22921'})",frozenset({'22918'}),0.9727891156462585,0.65,HERB MARKER PARSLEY
8117,"frozenset({'22919', '22916', '22921'})",frozenset({'22917'}),0.9726027397260274,0.65,HERB MARKER ROSEMARY
8128,"frozenset({'22917', '22921', '22919', '22918'})",frozenset({'22916'}),0.9722222222222223,0.65,HERB MARKER THYME
8212,"frozenset({'22920', '22916', '22921'})",frozenset({'22917'}),0.9720279720279721,0.65,HERB MARKER ROSEMARY
8198,"frozenset({'22920', '22918', '22921'})",frozenset({'22917'}),0.9720279720279721,0.65,HERB MARKER ROSEMARY
8284,"frozenset({'22920', '22919', '22921'})",frozenset({'22916'}),0.9714285714285714,0.65,HERB MARKER THYME
8270,"frozenset({'22920', '22919', '22921'})",frozenset({'22917'}),0.9714285714285714,0.65,HERB MARKER ROSEMARY
