,support,itemsets
0,0.10750584270884288,frozenset({'85123A'})
389,0.09255937822707756,frozenset({'22423'})
114,0.08696124789390727,frozenset({'85099B'})
804,0.07494972552856133,frozenset({'47566'})
9,0.07473232240882656,frozenset({'84879'})
50,0.07005815533452905,frozenset({'20725'})
929,0.062285993804011085,frozenset({'22720'})
1039,0.058698842328387416,frozenset({'23203'})
213,0.057177020490244035,frozenset({'20727'})
214,0.05668786347084081,frozenset({'22383'})
132,0.05625305723137127,frozenset({'22197'})
51,0.05592695255176912,frozenset({'21212'})
1035,0.054839936953095275,frozenset({'23298'})
1037,0.0546768846132942,frozenset({'23209'})
175,0.05369857057448774,frozenset({'22382'})
37,0.053263764335018206,frozenset({'22086'})
99,0.05255720419588021,frozenset({'22457'})
215,0.052502853415946515,frozenset({'20728'})
100,0.05223109951627806,frozenset({'22469'})
176,0.0506005761182673,frozenset({'22384'})
18,0.04771998478178162,frozenset({'22960'})
22,0.04766563400184793,frozenset({'22727'})
38,0.047611283221914234,frozenset({'82482'})
52,0.04733952932224578,frozenset({'22386'})
68,0.0471764769824447,frozenset({'22961'})
1012,0.04706777542257731,frozenset({'23206'})
965,0.04706777542257731,frozenset({'22993'})
274,0.04668731996304147,frozenset({'21034'})
948,0.04641556606337301,frozenset({'22138'})
487,0.04500244578509702,frozenset({'22666'})
69,0.04473069188542855,frozenset({'22139'})
177,0.04456763954562748,frozenset({'20726'})
231,0.04429588564595902,frozenset({'22178'})
39,0.044078482526224254,frozenset({'82494L'})
1052,0.04353497472688733,frozenset({'23084'})
101,0.04353497472688733,frozenset({'22470'})
70,0.042937116147616715,frozenset({'22411'})
23,0.042882765367683026,frozenset({'22726'})
443,0.04255666068808087,frozenset({'22699'})
53,0.04206750366867765,frozenset({'21931'})
1040,0.04195880210881026,frozenset({'23202'})
230,0.041523995869340725,frozenset({'20914'})
1075,0.04108918962987119,frozenset({'23301'})
1013,0.04087178651013642,frozenset({'23201'})
735,0.040165226370998425,frozenset({'20724'})
133,0.039784770911462576,frozenset({'21080'})
275,0.03945866623186043,frozenset({'22077'})
300,0.03924126311212566,frozenset({'21790'})
1187,0.03907821077232458,frozenset({'23355'})
1101,0.03902385999239089,frozenset({'23245'})
1014,0.03902385999239089,frozenset({'23199'})
24,0.0382629490733192,frozenset({'22629'})
165,0.038045545953584434,frozenset({'22112'})
134,0.03788249361378336,frozenset({'22910'})
565,0.03771944127398228,frozenset({'21181'})
71,0.037610739714114896,frozenset({'21175'})
10,0.03755638893418121,frozenset({'21754'})
446,0.03755638893418121,frozenset({'22697'})
48,0.0369041795749769,frozenset({'21733'})
722,0.03679547801510952,frozenset({'84946'})
54,0.03636067177563998,frozenset({'21977'})
55,0.035708462416435674,frozenset({'84991'})
166,0.035654111636501985,frozenset({'22111'})
259,0.0355454100766346,frozenset({'85099F'})
930,0.035491059296700905,frozenset({'22722'})
56,0.03527365617696614,frozenset({'85099C'})
1031,0.03521930539703245,frozenset({'23284'})
1015,0.03516495461709875,frozenset({'23207'})
152,0.03473014837762922,frozenset({'22558'})
1076,0.03451274525789445,frozenset({'23300'})
451,0.03369748355888907,frozenset({'22624'})
276,0.0334800804391543,frozenset({'22630'})
25,0.033317028099353226,frozenset({'22728'})
102,0.03282787107995,frozenset({'82484'})
72,0.032719169520082615,frozenset({'21166'})
57,0.032719169520082615,frozenset({'21929'})
111,0.03250176640034785,frozenset({'22662'})
1018,0.03244741562041415,frozenset({'23208'})
26,0.03233871406054677,frozenset({'22326'})
153,0.03206696016087831,frozenset({'85152'})
301,0.03190390782107723,frozenset({'22554'})
1141,0.03184955704114354,frozenset({'23344'})
536,0.03179520626120985,frozenset({'22355'})
167,0.03163215392140877,frozenset({'21232'})
1111,0.03163215392140877,frozenset({'23321'})
302,0.0314691015816077,frozenset({'22551'})
232,0.03130604924180662,frozenset({'20685'})
154,0.03108864612207185,frozenset({'22865'})
848,0.03108864612207185,frozenset({'84978'})
178,0.03097994456220447,frozenset({'22467'})
664,0.030816892222403393,frozenset({'22090'})
233,0.03049078754280124,frozenset({'21915'})
