StockCode,UnitPrice
10002,0.85
10080,0.39
10120,0.21
10123C,0.65
10124A,0.42
10124G,0.42
10125,0.85
10133,0.42
10135,1.25
11001,3.29
15030,0.29
15034,0.14
15036,0.83
15039,0.85
15044A,5.79
15044B,2.95
15044C,2.95
15044D,2.95
15056BL,5.95
15056N,5.95
15056P,5.95
15058A,7.95
15058B,7.95
15058C,7.95
15060B,2.95
16008,0.12
16010,0.12
16011,0.21
16012,0.21
16014,0.42
16015,0.5
16016,0.85
16020C,0.85
16033,0.12
16043,0.12
16045,0.04
16046,0.85
16048,0.12
16049,0.12
16052,0.19
16054,0.12
16151A,1.25
16156L,0.42
16156S,0.42
16161G,0.1
16161M,0.42
16161P,0.42
16161U,0.42
16162L,0.65
16162M,0.42
16168M,0.42
16169E,0.42
16169K,0.42
16169M,0.42
16169N,0.42
16169P,0.42
16202A,0.5
16202B,0.5
16202E,0.5
16206B,1.25
16207A,2.95
16207B,2.46
16216,0.06
16218,0.06
16219,0.06
16225,0.39
16235,0.21
16236,0.21
16237,0.21
16238,0.21
16244B,1.95
16248B,1.25
16254,0.85
16258A,0.19
16259,0.08
17001,0.29
17003,0.39
17007B,2.1
17011F,0.65
17012A,0.85
17012B,0.85
17012C,0.85
17012D,0.85
17012E,0.5
17012F,0.85
17013D,0.42
17014A,0.42
17021,0.3
17028J,0.42
17038,0.1
17084A,0.21
17084J,0.21
17084N,0.21
17084P,0.21
17084R,0.21
17090A,1.25
17090D,1.25
17091A,0.38
17091J,0.38
17096,0.17
17107D,2.55
17109D,0.38
17129F,1.63
17136A,0.08
17164B,0.42
17165D,1.05
17174,0.42
17191A,3.75
18007,0.06
18094C,1.25
18097A,2.55
18097C,2.55
18098C,2.95
20615,0.75
20616,0.75
20617,2.1
20618,2.1
20619,4.13
20622,2.1
20652,1.25
20653,2.46
20654,1.25
20655,1.25
20657,1.25
20658,1.25
20659,1.25
20661,5.79
20662,5.79
20663,5.79
20664,2.95
20665,2.95
20666,2.95
20667,2.95
20668,0.12
20669,1.25
20670,2.95
20671,1.25
20674,1.25
20675,1.25
20676,1.25
20677,1.25
20678,1.65
20679,5.95
20681,3.25
20682,3.25
20684,3.25
20685,7.08
20686,3.25
20694,3.75
20695,4.25
20696,3.75
20697,2.55
20698,2.55
20699,2.55
20700,3.75
20701,3.75
20702,4.25
20703,4.25
20704,1.95
20705,1.95
20707,2.46
20711,2.08
20712,2.08
20713,1.79
20716,1.25
20717,1.25
20718,1.25
20719,0.85
20723,0.85
20724,0.85
20725,1.45
20726,1.65
20727,1.65
20728,1.65
20731,1.25
20733,0.85
20735,0.85
20748,12.75
20749,6.35
20750,7.95
20751,2.1
20752,2.1
20754,2.1
20755,0.85
20756,0.85
20757,0.85
20758,0.85
20759,0.85
20760,0.85
20761,3.75
20762,3.75
20763,3.75
20764,3.75
20765,7.46
20766,3.75
20767,2.55
20768,2.55
20769,2.55
20770,2.55
20771,2.55
20772,2.55
20773,1.65
20774,1.65
20775,1.65
20777,1.65
20778,1.65
20780,5.49
20781,1.95
20782,1.95
20785,39.95
20793,6.75
20794,2.55
20795,2.1
20796,1.65
20798,2.1
20801,0.79
20802,1.65
20803,0.39
20816,1.95
20818,1.25
20819,3.75
20820,4.95
20821,4.95
20823,0.79
20826,0.39
20827,0.39
20828,2.55
20829,2.1
20830,2.1
20831,0.79
20832,0.72
20835,0.83
20836,0.83
20837,0.83
20838,0.85
20839,0.85
20840,0.85
20845,6.35
20846,1.25
20847,3.75
20848,2.95
20851,5.95
20854,1.65
20856,1.65
20857,1.65
20861,2.1
20866,1.25
20867,1.25
20868,0.39
20869,0.39
20878,1.25
20886,1.95
20892,12.75
20893,2.1
20894,2.95
20897,2.55
20898,2.95
20901,6.35
20902,6.35
20903,6.35
20906,2.95
20910,6.35
20914,2.95
20931,1.25
20932,1.25
20933,2.95
20934,5.45
20935,2.95
20936,1.25
20941,1.25
20956,1.25
20961,1.25
20963,1.25
20964,2.55
20966,1.25
20967,3.75
20969,3.75
20970,3.75
20971,1.06
20972,1.25
20973,0.65
20974,0.65
20975,0.65
20977,1.25
20978,1.25
20979,1.25
20980,1.25
20981,0.85
20982,0.85
20983,0.85
20984,0.29
20985,1.25
20986,1.25
20992,0.39
20996,0.19
20997,4.95
20998,2.55
21000,4.25
21001,5.95
21002,4.25
21003,6.35
21011,1.45
21012,2.1
21014,0.29
21015,0.29
21018,0.85
21025,2.46
21026,1.25
21027,1.25
21028,2.46
21030,1.25
21031,1.25
21032,1.25
21033,2.08
21034,0.95
21035,3.25
21038,0.79
21039,2.55
21040,0.79
21041,2.95
21042,5.95
21043,1.95
21051,2.1
21054,8.95
21055,8.95
21056,16.63
21058,0.85
21059,0.85
21060,0.85
21061,0.85
21062,0.85
21063,1.63
21064,1.25
21065,1.25
21066,1.25
21067,1.25
21068,1.25
21069,1.06
21070,2.46
21071,1.25
21078,0.85
21080,0.85
21084,0.19
21086,0.65
21087,0.19
21088,0.19
21089,0.19
21090,0.39
21094,0.85
21095,0.85
21096,0.39
21098,1.25
21100,1.65
21106,2.55
21107,2.55
21108,0.79
21109,1.95
21110,6.75
21111,1.25
